predictor,condition,estimate,se,z,p,n_obs,n_subj,aic,bic,converged,p_fdr,sig_fdr,sig_unc
abs_rpe_binary,any_rew,-0.2069586771153606,0.07306495960381174,-2.8325298232911598,0.00461812580118148,3926,43,14876.613255223689,14895.439384348198,True,,True,True
abs_rpe_binary,stay,-0.21262966265385683,0.08017979737138498,-2.651910701008348,0.00800377069284672,3935,43,15651.056142566162,15669.889141048716,True,,True,True
abs_rpe_binary,shift,-0.03263317204201622,0.08758737493767231,-0.3725784916517726,0.7094621832370835,3985,43,16735.913164703867,16754.78404247754,True,,False,False
abs_rpe_binary,rew_stay,-0.24776982936395334,0.10267662396103748,-2.4131084545395076,0.0158171122240167,2035,43,8179.627140325065,8196.481893618695,True,,True,True
abs_rpe_binary,rew_shift,-0.15019214288900196,0.1298173824470756,-1.1569494012116044,0.24729303360769428,1900,43,7479.20995446873,7495.858781964193,True,,False,False
abs_rpe_binary,norew_stay,0.009257305681689521,0.06002372817316517,0.1542274357731113,0.8774304103686754,1473,43,6079.849312148341,6095.734481397729,True,,False,False
abs_rpe_binary,norew_shift,-0.055022137960482415,0.06962647180755512,-0.7902473948782223,0.4293833019676475,2512,43,10660.486794046043,10677.973297628807,True,,False,False
abs_rpe_mag,all,0.060074776104292,0.1606582427894422,0.37392900022581266,0.7084571399166018,7920,43,32427.23553626958,32448.16697572401,True,,False,False
abs_rpe_mag,high_rew,-1.5966601545672237,0.5740476043034879,-2.781407225807531,0.005412379784704822,1556,43,6484.011250605612,6500.060871719827,True,,True,True
abs_rpe_mag,no_rew,0.6691288569856658,0.22303967129917007,3.0000441315578446,0.0026994049204044014,3994,43,17266.885229604835,17285.762875146764,True,,True,True
abs_rpe_mag,low_rew,1.1368649422268422,0.19481193513380674,5.835704785982366,5.356366233843301e-09,2370,43,7512.135669609957,7529.447605312345,True,,True,True
abs_rpe_mag,any_rew,-1.1464847172745567,0.23712386946734423,-4.834961237137057,1.3317158277623544e-06,3926,43,14858.962431721491,14877.788560846,True,,True,True
abs_rpe_mag,stay,0.29531352511107833,0.2156815775804599,1.3692107060043726,0.1709334204118259,3935,43,15654.230448412094,15673.063446894648,True,,False,False
abs_rpe_mag,shift,-0.17565558785700988,0.23967798375085714,-0.7328816151908308,0.46363063718566355,3985,43,16733.5014789317,16752.37235670537,True,,False,False
abs_rpe_mag,rew_stay,0.7254098679799931,0.34802391137617167,2.0843678961929513,0.037126715714841864,2035,43,8178.661307280134,8195.516060573764,True,,False,True
abs_rpe_mag,rew_shift,0.03874179056559763,0.2798292506451927,0.1384479659516366,0.8898863906353549,1900,43,7478.993439990889,7495.6422674863525,True,,False,False
abs_rpe_mag,norew_stay,-0.5659103352075022,0.3665695173799656,-1.5438008573443682,0.1226365835854436,1473,43,6075.613221716241,6091.498390965629,True,,False,False
abs_rpe_mag,norew_shift,0.07720728690393341,0.3150446904092316,0.24506772929149814,0.8064039894216056,2512,43,10658.573525078318,10676.060028661082,True,,False,False
chosen_q_binary,all,0.08179891276733335,0.05944834111043485,1.375966279956891,0.16883207318067617,7920,43,32427.476403140186,32448.407842594614,True,,False,False
chosen_q_binary,high_rew,0.30149511192218237,0.15106618470356714,1.9957816007189009,0.0459577003876254,1556,43,6490.422630334708,6506.472251448923,True,,False,True
chosen_q_binary,no_rew,-0.035691823010719305,0.015052099762197605,-2.371218871426634,0.017729528588848943,3994,43,17277.476823130746,17296.354468672675,True,,True,True
chosen_q_binary,low_rew,0.06106869248786417,0.06648732114957924,0.918501323740739,0.35835646624504947,2370,43,7540.9915478209405,7558.303483523328,True,,False,False
chosen_q_binary,any_rew,0.20695867711536048,0.07306495960381176,2.832529823291157,0.0046181258011815185,3926,43,14876.613255223689,14895.439384348198,True,,True,True
chosen_q_binary,stay,0.04131040038362792,0.08887613975016306,0.46480867080584615,0.6420684778547134,3935,43,15657.662239014866,15676.49523749742,True,,False,False
chosen_q_binary,shift,0.14419612752000366,0.09839618245142465,1.4654646544970291,0.14279418888935455,3985,43,16733.671734658295,16752.542612431967,True,,False,False
chosen_q_binary,rew_stay,0.18645973184088804,0.1874707981586087,0.9946068063525005,0.3199275358680791,2035,43,8183.251203520227,8200.105956813857,True,,False,False
chosen_q_binary,rew_shift,-0.05377002498920624,0.06194984487125953,-0.8679606075035038,0.38541589802033993,1900,43,7480.366033795908,7497.014861291372,True,,False,False
chosen_q_binary,norew_stay,0.13476759492185045,0.033542101839776,4.017863745259872,5.872813747845315e-05,1473,43,6078.673793841874,6094.558963091262,True,,True,True
chosen_q_binary,norew_shift,0.14455488351784185,0.11544768752105442,1.2521245476786107,0.21052448415363423,2512,43,10659.073449605428,10676.559953188193,True,,False,False
chosen_q_mag,all,0.6380130187619404,0.1395051345266673,4.573401695404839,4.798688764265435e-06,7920,43,32406.772647629346,32427.704087083774,True,,True,True
chosen_q_mag,high_rew,1.8655157494199448,0.2807235943249152,6.645382814743953,3.024299979305299e-11,1556,43,6449.590638063093,6465.6402591773085,True,,True,True
chosen_q_mag,no_rew,0.6691288569856658,0.22303967129917007,3.0000441315578446,0.0026994049204044014,3994,43,17266.885229604835,17285.762875146764,True,,True,True
chosen_q_mag,low_rew,1.000485707640905,0.10497237916945626,9.530942477981062,1.5586170487295217e-21,2370,43,7511.536198089394,7528.848133791782,True,,True,True
chosen_q_mag,any_rew,0.6125630223146414,0.16815313297645879,3.6428879526163778,0.00026959621218012334,3926,43,14869.711660220659,14888.537789345168,True,,True,True
