predictor,channel,condition,estimate,se,z,p,n_obs,n_subj,aic,bic,converged,p_fdr,sig_fdr,sig_unc
abs_rpe_binary,C4,all,0.07550933788514942,0.12435121958486783,0.6072263556178107,0.5437007038801094,7963,43,44355.459997556056,44376.40768083283,True,,False,False
abs_rpe_binary,C4,high_rew,-0.4148352418871279,0.27981596172024836,-1.4825288712509823,0.1381996273510319,1580,43,8535.899381002198,8551.994921380261,True,,False,False
abs_rpe_binary,C4,no_rew,0.1790259033069702,0.16531538616651914,1.0829355177299753,0.2788370454331349,4011,43,21949.43351921562,21968.323906812933,True,,False,False
abs_rpe_binary,C4,low_rew,0.17744066317145796,0.24729026939094317,0.7175400132341665,0.4730409562146225,2372,43,13773.228130343476,13790.542596623829,True,,False,False
abs_rpe_binary,C4,any_rew,-0.03074372141866817,0.1865227495599004,-0.16482558557177526,0.8690812650947832,3952,43,22378.9699637644,22397.815894941003,True,,False,False
abs_rpe_binary,C4,stay,0.1295407914361895,0.0590224919086788,2.194769946965616,0.02818010431173134,3935,43,21962.351023375584,21981.18402185814,True,,False,True
abs_rpe_binary,C4,shift,0.018406544184272147,0.17338862166241492,0.10615773980895594,0.91545720016451,3985,43,22175.883231766136,22194.75410953981,True,,False,False
abs_rpe_binary,C4,rew_stay,-0.039164995067737594,0.07294228923157224,-0.5369312573039656,0.5913150990168348,2035,43,11397.863210225085,11414.717963518715,True,,False,False
abs_rpe_binary,C4,rew_shift,0.4308647490146444,0.11347914416730037,3.7968628700567906,0.0001465387974565879,1900,43,10569.610591609307,10586.259419104772,True,,True,True
abs_rpe_binary,C4,norew_stay,-0.09490018467758753,0.2838672262875346,-0.3343118750223786,0.7381442304798451,1473,43,8059.52691723649,8075.412086485878,True,,False,False
abs_rpe_binary,C4,norew_shift,0.08122554967116351,0.18665997565236667,0.43515247115662875,0.6634517590292168,2512,43,14113.374780432427,14130.86128401519,True,,False,False
abs_rpe_binary,C3,all,-0.065840564176896,0.16465752555151283,-0.39986368042618187,0.6892569243736721,7963,43,48825.68467418685,48846.632357463626,True,,False,False
abs_rpe_binary,C3,high_rew,0.2810318199368184,0.3613513295478351,0.777724604717736,0.4367313837889497,1580,43,9342.947249833904,9359.042790211966,True,,False,False
abs_rpe_binary,C3,no_rew,-0.20885619768792543,0.23325927916301,-0.8953821620188116,0.37058283286468463,4011,43,24709.99516080389,24728.885548401202,True,,False,False
abs_rpe_binary,C3,low_rew,-0.034567254920815256,0.30307646383841713,-0.11405456723041522,0.9091945372234732,2372,43,14737.449847559426,14754.76431383978,True,,False,False
abs_rpe_binary,C3,any_rew,0.09310544346106195,0.23247763489753515,0.40049204519006015,0.6887941413538035,3952,43,24118.872388140997,24137.7183193176,True,,False,False
abs_rpe_binary,C3,stay,0.30402352795922677,0.23899866727743985,1.2720720639262113,0.2033475158885888,3935,43,24242.194330602146,24261.0273290847,True,,False,False
abs_rpe_binary,C3,shift,-0.41124371483725525,0.22735069332517166,-1.8088518175269777,0.07047402757246014,3985,43,24334.33694349132,24353.20782126499,True,,False,False
abs_rpe_binary,C3,rew_stay,0.5301446940822946,0.08577989094232709,6.180291071234049,6.398352212708567e-10,2035,43,12526.492647760533,12543.347401054163,True,,True,True
abs_rpe_binary,C3,rew_shift,-0.10063389029081278,0.3946331302143304,-0.25500618824414767,0.7987183196795837,1900,43,11720.116789874584,11736.765617370049,True,,False,False
abs_rpe_binary,C3,norew_stay,-0.1917294147851943,0.3685192915330565,-0.5202696824570336,0.6028756236409959,1473,43,9049.318223068149,9065.203392317537,True,,False,False
abs_rpe_binary,C3,norew_shift,-0.5358183145965507,0.27660965037787266,-1.9370919050169675,0.05273410997462751,2512,43,15286.24297301317,15303.729476595934,True,,False,False
abs_rpe_binary,P4,all,0.1085172263534918,0.15729603837125702,0.6898916684561671,0.49026231562837785,7963,43,48097.4428121119,48118.390495388674,True,,False,False
abs_rpe_binary,P4,high_rew,-0.13188126286139001,0.25265248810716334,-0.5219867963677134,0.6016795237661027,1580,43,9324.560119518743,9340.655659896805,True,,False,False
abs_rpe_binary,P4,no_rew,0.2941054900024868,0.21661456490969297,1.3577364482628393,0.17454732695135255,4011,43,24116.414239356207,24135.30462695352,True,,False,False
abs_rpe_binary,P4,low_rew,-0.08390685435427292,0.29632991820019366,-0.2831535029061338,0.7770591696122255,2372,43,14630.744354342543,14648.058820622897,True,,False,False
abs_rpe_binary,P4,any_rew,-0.08090987701250534,0.22856178746143782,-0.3539956434150489,0.7233421481709431,3952,43,23984.671549062477,24003.51748023908,True,,False,False
abs_rpe_binary,P4,stay,0.17794590818788739,0.2251022616172155,0.7905114187190305,0.4292291562693362,3935,43,23770.995911671653,23789.828910154207,True,,False,False
abs_rpe_binary,P4,shift,0.03371795567777151,0.22024884138986986,0.15309027491357483,0.8783270849707112,3985,43,24081.530154240165,24100.401032013837,True,,False,False
abs_rpe_binary,P4,rew_stay,0.38655425397952276,0.28629872815966456,1.350178034196321,0.1769588823037589,2035,43,12349.1120997927,12365.96685308633,True,,False,False
abs_rpe_binary,P4,rew_shift,-0.17588442669177703,0.36716078152226556,-0.47903925349148696,0.6319107037432887,1900,43,11425.801588423317,11442.450415918782,True,,False,False
abs_rpe_binary,P4,norew_stay,-0.2488768811824124,0.3744342458931721,-0.6646744626382765,0.5062587310655182,1473,43,8874.194940964437,8890.080110213825,True,,False,False
abs_rpe_binary,P4,norew_shift,0.18923263695253822,0.2724436275063594,0.6945753831152506,0.48732144382292253,2512,43,15210.061527544025,15227.54803112679,True,,False,False
abs_rpe_binary,P3,all,-0.08670692118949394,0.15299978539903866,-0.5667126980822468,0.5709093922644416,7963,43,47656.513181616145,47677.46086489292,True,,False,False
abs_rpe_binary,P3,high_rew,0.06172221597825686,0.3550306986939798,0.17385036337789647,0.8619830627553517,1580,43,9287.255097243591,9303.350637621654,True,,False,False
abs_rpe_binary,P3,no_rew,0.03551852019117036,0.2102369628852218,0.1689451735970976,0.8658397664761817,4011,43,23876.802030950348,23895.69241854766,True,,False,False
abs_rpe_binary,P3,low_rew,-0.337126757694936,0.2869331865145443,-1.1749312158349707,0.24002223571831238,2372,43,14478.002437501054,14495.316903781408,True,,False,False
abs_rpe_binary,P3,any_rew,-0.21137267023848122,0.22281718024439787,-0.9486372191167499,0.3428051544863999,3952,43,23783.577343461497,23802.4232746381,True,,False,False
abs_rpe_binary,P3,stay,0.1494897777965999,0.1882570802594884,0.7940725394792444,0.42715320295623804,3935,43,23577.496577133123,23596.329575615677,True,,False,False
abs_rpe_binary,P3,shift,-0.3157887212865628,0.21358717838873628,-1.478500365372195,0.13927389937303786,3985,43,23836.870990853422,23855.741868627094,True,,False,False
abs_rpe_binary,P3,rew_stay,0.3129766617502523,0.04764308880466335,6.569193341629392,5.05885635010377e-11,2035,43,12373.58714777941,12390.44190107304,True,,True,True
