Start_RT,Return_RT,Position,Trial_Type,Reward,Direction,Trial,Actual_Interval,PES_PRS_index,Condition_Direction_index,Sum_RT_interval,Earned,Vel_Cond,Vel_Dir_Index,Previous_RT,RT_DIFF,SubjectCode,TrialIndex,FCz,Cz,FC2,FC1,F4,F5,C4,C3,P4,P3,P8,P7,Pz,subject,choice,outcome_binary,outcome_mag,reward_level,reward_level_num,stay_shift,cond_dir,is_reward,rpe_binary,abs_rpe_binary,chosen_q_binary,rpe_mag,abs_rpe_mag,chosen_q_mag,best_model
2.5996,2.4334,0.36,1,1,1,28,3.3668,2,3,5.8002,0.25,1,3,3.5345,0.9348999999999998,ARV_0053,28,7.087741983,3.055295306,1.36358608,7.723317226,0.851943451,6.919716566,-2.649771686,2.833299493,-3.402285011,-5.560311906,-6.350028077,-5.317629181,-6.554858923,ARV_0053,0,1.0,0.25,high_rew,2,shift,norew_stay,1,0.499502019884808,0.499502019884808,0.500497980115192,-0.24312965783165807,0.24312965783165807,0.4931296578316581,random
3.3668,2.934,0.37,2,1,2,29,2.901,1,2,5.835,0.25,1,2,2.5996,-0.7671999999999999,ARV_0053,29,3.732186592,-0.166062361,0.072436727,1.585351461,-0.372870893,0.404468745,0.229057928,-2.875616866,2.600869268,-4.144588887,3.633749766,-4.461121078,-0.23788503,ARV_0053,1,1.0,0.25,high_rew,2,stay,rew_shift,1,0.4980114332498762,0.4980114332498762,0.5019885667501238,-0.24313416029344354,0.24313416029344354,0.49313416029344354,random
2.901,2.4667,0.31,2,1,2,30,4.7002,1,1,7.1669,0.25,1,1,3.3668,0.4658000000000002,ARV_0053,30,2.282690262,-1.31134018,1.38414216,2.432163982,2.707645042,1.484057189,2.276687552,0.794247525,-2.708515393,-1.274632038,-5.419057091,0.775018078,-3.42311694,ARV_0053,1,1.0,0.25,high_rew,2,stay,rew_stay,1,0.4975134218166263,0.4975134218166263,0.5024865781833737,-0.2428071613504325,0.2428071613504325,0.4928071613504325,random
4.7002,2.9347,0.33,1,1,1,31,5.4024,1,2,8.3371,0.25,1,2,2.901,-1.7992,ARV_0053,31,1.046674351,3.038981035,2.878260135,6.060202798,2.846732575,6.91248175,-3.31891163,9.432585981,-4.765116152,-6.055337619,-6.381186001,-4.66726245,-7.027901581,ARV_0053,0,1.0,0.25,high_rew,2,stay,rew_shift,1,0.4990025178649232,0.4990025178649232,0.5009974821350768,-0.2428026649441526,0.2428026649441526,0.4928026649441526,random
5.4024,2.7313,0.34,2,1,2,32,2.9938,1,2,5.7251,0.25,1,2,4.7002,-0.7022000000000004,ARV_0053,32,-4.696856657,0.944619477,-2.694637604,-1.964880498,-7.012239496,-2.644667603,0.297161716,7.81833087,2.746165263,0.766622876,2.705689621,1.716238658,2.018547264,ARV_0053,1,1.0,0.25,high_rew,2,stay,rew_shift,1,0.4970159083948097,0.4970159083948097,0.5029840916051903,-0.24248060219880502,0.24248060219880502,0.492480602198805,random
2.9938,2.8386,0.33,3,2,1,33,2.8664,1,2,5.705,0.0,2,2,5.4024,2.4086000000000003,ARV_0053,33,12.42045481,3.072953401,-1.073206542,6.180776908,3.986724644,4.576108812,-0.062781489,-2.563801241,-1.17043057,-6.596503325,-3.886341855,-9.309859071,-5.573965568,ARV_0053,0,0.0,0.0,no_rew,0,stay,rew_shift,0,-0.5014964846529417,0.5014964846529417,0.5014964846529417,-0.4924761118398863,0.4924761118398863,0.4924761118398863,random
2.8664,2.6008,0.45,3,2,1,34,2.1338,2,3,4.7346,0.0,2,3,2.9938,0.12739999999999974,ARV_0053,34,2.739311758,-1.072520073,-0.392327373,1.784049998,-1.189425004,0.150969509,-0.638672676,3.119146791,0.233771588,-2.63755352,3.333622777,-1.818127432,-3.612280824,ARV_0053,0,0.0,0.0,no_rew,0,shift,norew_stay,0,-0.5009949881682888,0.5009949881682888,0.5009949881682888,-0.4918137648959791,0.4918137648959791,0.4918137648959791,random
2.1338,3.5321,0.36,3,2,1,35,2.7666,2,3,6.2987,0.0,2,3,2.8664,0.7326000000000001,ARV_0053,35,7.675338505,1.908829713,-0.198599921,6.573794197,0.359943254,6.207990789,-1.262820107,-2.121135511,-3.552079553,-3.224530762,-5.32690897,-6.344294222,-0.695498153,ARV_0053,0,0.0,0.0,no_rew,0,shift,norew_stay,0,-0.5004939931801206,0.5004939931801206,0.5004939931801206,-0.49115230876375504,0.49115230876375504,0.49115230876375504,random
2.7666,3.1327,0.33,1,1,1,36,4.6009,2,3,7.7336,0.25,1,3,2.1338,-0.6328,ARV_0053,36,6.109144328,2.056020492,0.499219053,6.657260332,-0.637148663,7.300950741,-3.409552337,2.642985173,-5.037674844,-2.113372395,-8.728315206,-1.198248067,-4.141392444,ARV_0053,0,1.0,0.25,high_rew,2,shift,norew_stay,1,0.5000065008130596,0.5000065008130596,0.4999934991869404,-0.24049174224513287,0.24049174224513287,0.49049174224513287,random
4.6009,2.599,0.41,4,2,2,37,3.399,1,2,5.998,0.0,2,2,2.7666,-1.8343000000000003,ARV_0053,37,1.143395399,0.621236737,-1.607693808,1.221136446,0.41403857,-1.244199054,-1.159978967,-1.377189005,1.94817408,-2.041441407,4.934588739,-0.432807103,-2.419220827,ARV_0053,1,0.0,0.0,no_rew,0,stay,rew_shift,0,-0.5034811075135851,0.5034811075135851,0.5034811075135851,-0.4921544822470714,0.4921544822470714,0.4921544822470714,random
3.399,2.701,0.37,2,1,2,38,3.9994,2,3,6.7004,0.25,1,3,4.6009,1.2019000000000002,ARV_0053,38,2.825348505,0.273064332,-2.774248756,2.832948278,-4.602628836,3.124481947,-1.88403591,0.10180927,-1.482791488,0.062599921,1.388476725,0.066148909,0.068866805,ARV_0053,1,1.0,0.25,high_rew,2,shift,norew_stay,1,0.49702237359392853,0.49702237359392853,0.5029776264060715,-0.2414925678731361,0.2414925678731361,0.4914925678731361,random
3.9994,2.4668,0.36,4,2,2,39,6.1957,1,1,8.6625,0.0,2,1,3.399,-0.6004,ARV_0053,39,12.60913738,2.70080597,0.160768287,10.05141274,-4.205166888,7.448232649,-3.08324984,-4.514876016,-4.739856756,-2.247783508,-9.295198562,-5.247528693,0.363144279,ARV_0053,1,0.0,0.0,no_rew,0,stay,rew_stay,0,-0.5034746487796654,0.5034746487796654,0.5034746487796654,-0.4911677767605083,0.4911677767605083,0.4911677767605083,random
6.1957,2.6679,0.31,1,1,1,40,3.1002,2,4,5.7681,0.25,1,4,3.9994,-2.1963000000000004,ARV_0053,40,5.91412162,5.478950446,6.101955519,6.056920989,-1.986733461,2.362550958,-4.663636373,2.677589331,-4.032854884,-2.935129205,-8.345153441,-7.305638244,0.677125856,ARV_0053,0,1.0,0.25,high_rew,2,shift,norew_shift,1,0.4995064943122465,0.4995064943122465,0.5004935056877535,-0.24016829717504434,0.24016829717504434,0.49016829717504434,random
3.1002,2.7643,0.35,4,2,2,41,3.5618,1,2,6.3261,0.0,2,2,6.1957,3.0955000000000004,ARV_0053,41,-0.594103443,0.382134624,2.343362741,0.703062361,-1.132144673,-0.540535195,0.92254682,3.999622876,-1.319502241,-0.224996453,-3.675944633,-0.01216945,-0.851214374,ARV_0053,1,0.0,0.0,no_rew,0,stay,rew_shift,0,-0.5029711741308858,0.5029711741308858,0.5029711741308858,-0.49050718943848043,0.49050718943848043,0.49050718943848043,random
3.5618,2.6688,0.38,2,1,2,42,4.9312,2,3,7.6,0.25,1,3,3.1002,-0.4615999999999998,ARV_0053,42,0.618346042,6.508657702,1.284818974,0.868044579,0.307919511,-1.589483227,-1.816634107,4.604535491,1.987704005,-4.222607753,-2.986542042,-5.009533767,-0.555304566,ARV_0053,1,1.0,0.25,high_rew,2,shift,norew_stay,1,0.4975317970432451,0.4975317970432451,0.5024682029567549,-0.23984749056156368,0.23984749056156368,0.4898474905615637,random
4.9312,3.1676,0.34,3,2,1,43,4.1336,1,2,7.3012,0.0,2,2,3.5618,-1.3693999999999997,ARV_0053,43,1.062131521,0.896383823,-0.04877873,-0.104248904,0.933687799,0.911152751,0.142355056,0.293246392,1.26332161,-1.910589232,3.493644796,-5.93661332,-0.995822521,ARV_0053,0,0.0,0.0,no_rew,0,stay,rew_shift,0,-0.5009930121820658,0.5009930121820658,0.5009930121820658,-0.48984528711662145,0.48984528711662145,0.48984528711662145,random
4.1336,2.833,0.39,4,2,2,44,3.0665,2,4,5.8995,0.0,2,4,4.9312,0.7975999999999992,ARV_0053,44,7.435172898,3.939913945,5.081583567,7.091784444,2.632518891,3.231475445,0.309658342,2.935677651,-5.19638737,-4.910620216,-10.68106088,-7.587681346,-4.282104822,ARV_0053,1,0.0,0.0,no_rew,0,shift,norew_shift,0,-0.5029657347537981,0.5029657347537981,0.5029657347537981,-0.48952491196626136,0.48952491196626136,0.48952491196626136,random
3.0665,2.9003,0.35,2,1,2,45,2.6669,2,3,5.5672,0.25,1,3,4.1336,1.0671000000000004,ARV_0053,45,4.925715925,1.999408896,3.173922516,4.770500813,3.871082459,6.34988439,-1.928498251,0.70361598,-4.529339244,-4.544020738,-5.113325058,-6.859603517,-2.819438304,ARV_0053,1,1.0,0.25,high_rew,2,shift,norew_stay,1,0.4975372309809557,0.4975372309809557,0.5024627690190443,-0.23886653418587328,0.23886653418587328,0.4888665341858733,random
2.6669,2.8995,0.37,2,1,2,46,2.934,1,1,5.8335,0.25,1,1,3.0665,0.39959999999999996,ARV_0053,46,7.110690557,0.350146643,-4.756710408,4.36742855,1.462145707,4.578802424,-2.615333235,-2.357003793,-0.442684055,-3.710914783,1.066448057,-2.157398453,-2.895557509,ARV_0053,1,1.0,0.25,high_rew,2,stay,rew_stay,1,0.4970396937499747,0.4970396937499747,0.5029603062500253,-0.2385452749103144,0.2385452749103144,0.4885452749103144,random
2.934,2.7998,0.36,1,1,1,47,3.6665,1,2,6.4663,0.25,1,2,2.6669,-0.2671000000000001,ARV_0053,47,-9.18705246,1.796336486,7.314923107,-7.515662972,-3.32954416,-2.296871829,-1.989325107,3.790146594,1.36084316,3.778537855,-1.847491306,2.433625733,5.691485395,ARV_0053,0,1.0,0.25,high_rew,2,stay,rew_shift,1,0.49950798083011627,0.49950798083011627,0.5004920191698837,-0.2391864784534014,0.2391864784534014,0.4891864784534014,random
3.6665,2.6344,0.36,2,1,2,48,4.4673,1,2,7.1017,0.25,1,2,2.934,-0.7324999999999999,ARV_0053,48,15.04616063,6.065488449,-0.807767401,10.28401729,2.773168711,6.791915078,-1.626812374,-6.821504409,-2.924111571,-4.94599266,-10.74607069,-12.14763529,-0.940543619,ARV_0053,1,1.0,0.25,high_rew,2,stay,rew_shift,1,0.4965426540562248,0.4965426540562248,0.5034573459437752,-0.2382244477066759,0.2382244477066759,0.4882244477066759,random
4.4673,2.7328,0.34,1,1,1,49,3.0373,1,2,5.7701,0.25,1,2,3.6665,-0.8007999999999997,ARV_0053,49,6.922730998,-2.278710408,-3.924267277,5.904440225,3.770281957,6.284358997,-1.740514753,-0.352099207,-0.41738274,-6.73723122,4.910542141,-5.674822373,-6.66723191,ARV_0053,0,1.0,0.25,high_rew,2,stay,rew_shift,1,0.4990084728492862,0.4990084728492862,0.5009915271507138,-0.23886478887451873,0.23886478887451873,0.48886478887451873,random
3.0373,18.0607,0.32,3,2,1,50,2.6999,1,1,20.7606,0.0,2,1,4.4673,1.4299999999999997,ARV_0053,50,11.77024797,5.647713906,-1.872013398,4.963117531,-0.102533126,-0.551831929,2.212136299,-7.808116891,1.872157529,-3.002787843,-6.248606423,-11.32774129,4.44805448,ARV_0053,0,0.0,0.0,no_rew,0,stay,rew_stay,0,-0.5014905356235632,0.5014905356235632,0.5014905356235632,-0.4885435319462852,0.4885435319462852,0.4885435319462852,random
2.6999,3.2336,0.36,2,1,2,51,5.1001,2,4,8.3337,0.25,1,4,3.0373,0.33740000000000014,ARV_0053,51,4.116974188,-1.020280725,-2.823353283,1.002909955,4.209169253,2.624714398,3.738182897,-9.491900399,4.321899315,-2.753313827,0.778313088,-8.842808039,4.139487759,ARV_0053,1,1.0,0.25,high_rew,2,shift,norew_shift,1,0.4960461114021686,0.4960461114021686,0.5039538885978314,-0.23790405199385034,0.23790405199385034,0.48790405199385034,random
5.1001,3.1999,0.44,3,2,1,52,2.3996,1,2,5.5995,0.0,2,2,2.6999,-2.4002000000000003,ARV_0053,52,12.87913334,2.592914881,0.830181961,10.80315782,6.653791143,11.31514053,-1.988619132,-2.229311167,-7.803933649,-6.291134181,-13.08186523,-8.306885917,-5.372590562,ARV_0053,0,0.0,0.0,no_rew,0,stay,rew_shift,0,-0.5009890450879396,0.5009890450879396,0.5009890450879396,-0.4878864740554134,0.4878864740554134,0.4878864740554134,random
