subject,rpe_type,channel,r,p,z,n_trials,best_model
ARV_0014,rpe_best,Cz,,,,180,wsls
ARV_0014,rpe_best,FC2,,,,180,wsls
ARV_0014,rpe_best,FC1,,,,180,wsls
ARV_0014,rpe_best,F4,,,,180,wsls
ARV_0014,rpe_best,F5,,,,180,wsls
ARV_0014,rpe_best,C4,,,,180,wsls
ARV_0014,rpe_best,C3,,,,180,wsls
ARV_0014,rpe_best,P4,,,,180,wsls
ARV_0014,rpe_best,P3,,,,180,wsls
ARV_0014,rpe_best,P8,,,,180,wsls
ARV_0014,rpe_best,P7,,,,180,wsls
ARV_0014,rpe_best,Pz,,,,180,wsls
ARV_0014,rpe_rw,FCz,0.0055063149154993205,0.9415189674527101,0.005506370566090644,180,wsls
ARV_0014,rpe_rw,Cz,0.14648792152433843,0.049733606726660544,0.14754943666141163,180,wsls
ARV_0014,rpe_rw,FC2,-0.02146582310729034,0.774862174938629,-0.02146912103761165,180,wsls
ARV_0014,rpe_rw,FC1,-0.06278674125932804,0.4024068255251172,-0.06286944239907051,180,wsls
ARV_0014,rpe_rw,F4,-0.0621183430671154,0.40744439864876436,-0.0621984270067146,180,wsls
ARV_0014,rpe_rw,F5,-0.13856005946538025,0.06359833815910068,-0.13945714935997788,180,wsls
ARV_0014,rpe_rw,C4,0.1472015649391505,0.04861955949742496,0.14827880781627037,180,wsls
ARV_0014,rpe_rw,C3,-0.05501850302647501,0.46321448178980296,-0.055074118395116646,180,wsls
ARV_0014,rpe_rw,P4,0.01618993470055887,0.8292125151123741,0.016191349459166046,180,wsls
ARV_0014,rpe_rw,P3,0.06828467220068662,0.36239222096972057,0.0683911026270016,180,wsls
ARV_0014,rpe_rw,P8,0.046241873550186746,0.5376255782866101,0.04627487573551609,180,wsls
ARV_0014,rpe_rw,P7,0.0021384843841569176,0.9772706021926196,0.0021384876440111956,180,wsls
ARV_0014,rpe_rw,Pz,0.04139136755598043,0.5811599464629075,0.04141502973964333,180,wsls
ARV_0014,abs_rpe_best,FCz,,,,180,wsls
ARV_0014,abs_rpe_best,Cz,,,,180,wsls
ARV_0014,abs_rpe_best,FC2,,,,180,wsls
ARV_0014,abs_rpe_best,FC1,,,,180,wsls
ARV_0014,abs_rpe_best,F4,,,,180,wsls
ARV_0014,abs_rpe_best,F5,,,,180,wsls
ARV_0014,abs_rpe_best,C4,,,,180,wsls
ARV_0014,abs_rpe_best,C3,,,,180,wsls
ARV_0014,abs_rpe_best,P4,,,,180,wsls
ARV_0014,abs_rpe_best,P3,,,,180,wsls
ARV_0014,abs_rpe_best,P8,,,,180,wsls
ARV_0014,abs_rpe_best,P7,,,,180,wsls
ARV_0014,abs_rpe_best,Pz,,,,180,wsls
ARV_0014,abs_rpe_rw,FCz,0.1456547762670512,0.051060977753021465,0.14669812709546592,180,wsls
ARV_0014,abs_rpe_rw,Cz,0.052874487896136455,0.4808494978425221,0.052923844652409194,180,wsls
ARV_0014,abs_rpe_rw,FC2,0.03763552992395386,0.6159533901670449,0.037653314444351355,180,wsls
ARV_0014,abs_rpe_rw,FC1,0.169404420810083,0.023000778043911693,0.17105342369521598,180,wsls
ARV_0014,abs_rpe_rw,F4,0.05746688835011733,0.44352078646570275,0.057530274374153346,180,wsls
ARV_0014,abs_rpe_rw,F5,0.1557916347855835,0.036764376291838534,0.1570707219589887,180,wsls
ARV_0014,abs_rpe_rw,C4,-0.07874854101860948,0.29335283786988664,-0.07891193136139894,180,wsls
ARV_0014,abs_rpe_rw,C3,0.08298915124893143,0.2680470647046354,0.08318046337561746,180,wsls
ARV_0014,abs_rpe_rw,P4,-0.15178762832705867,0.04194569962746569,-0.15296971555982014,180,wsls
ARV_0014,abs_rpe_rw,P3,-0.01937653725249508,0.7962705612450733,-0.019378962773818422,180,wsls
ARV_0014,abs_rpe_rw,P8,-0.1909125258854124,0.010253159757969272,-0.19328404164073942,180,wsls
ARV_0014,abs_rpe_rw,P7,-0.08108322665464757,0.2792304782321057,-0.08126162452148075,180,wsls
ARV_0014,abs_rpe_rw,Pz,-0.09737984159960136,0.19343692819672742,-0.09768941718641624,180,wsls
ARV_0014,rpe_rw_reward,FCz,0.1936735065397452,0.07752941719997666,0.19615103611566553,84,wsls
ARV_0014,rpe_rw_noreward,FCz,-0.1057429121973969,0.3051882200023965,-0.10613970134771346,96,wsls
ARV_0014,rpe_rw_reward,Cz,0.19078822217883992,0.08213878259473634,0.19315503916518692,84,wsls
ARV_0014,rpe_rw_noreward,Cz,0.06216806374128162,0.5473582478403519,0.06224834043545878,96,wsls
ARV_0015,rpe_best,FCz,,,,198,wsls
ARV_0015,rpe_best,Cz,,,,198,wsls
ARV_0015,rpe_best,FC2,,,,198,wsls
ARV_0015,rpe_best,FC1,,,,198,wsls
ARV_0015,rpe_best,F4,,,,198,wsls
ARV_0015,rpe_best,F5,,,,198,wsls
ARV_0015,rpe_best,C4,,,,198,wsls
ARV_0015,rpe_best,C3,,,,198,wsls
ARV_0015,rpe_best,P4,,,,198,wsls
ARV_0015,rpe_best,P3,,,,198,wsls
ARV_0015,rpe_best,P8,,,,198,wsls
ARV_0015,rpe_best,P7,,,,198,wsls
ARV_0015,rpe_best,Pz,,,,198,wsls
