subject,rpe_type,condition,channel,r,p,z,n_trials
ARV_0031,rpe_mag,stay,Cz,-0.13698304658329807,0.19042195509256943,-0.13784962367256065,93
ARV_0031,rpe_mag,stay,FC2,-0.016579468139454778,0.8746656187578699,-0.016580987504616188,93
ARV_0031,rpe_mag,stay,FC1,-0.12492578092162653,0.2328194808538,-0.12558181769191235,93
ARV_0031,rpe_mag,stay,F4,-0.006901984538309334,0.9476478107480709,-0.0069020941389530506,93
ARV_0031,rpe_mag,stay,F5,-0.033325855053089,0.7511492133042992,-0.033338200652516956,93
ARV_0031,rpe_mag,stay,C4,0.0719352684774543,0.493202109128222,0.07205973588761558,93
ARV_0031,rpe_mag,stay,C3,0.0994487577926362,0.34290956212596324,0.0997785683651186,93
ARV_0031,rpe_mag,stay,P4,0.08106445843503182,0.4398439293944885,0.08124273212273307,93
ARV_0031,rpe_mag,stay,P3,-0.0406184739178415,0.6990729376960683,-0.04064083432781081,93
ARV_0031,rpe_mag,stay,P8,0.044980127439572394,0.6685617300569602,0.04501049909291371,93
ARV_0031,rpe_mag,stay,P7,0.12299324611833042,0.240183718449054,0.12361912355814884,93
ARV_0031,rpe_mag,stay,Pz,0.03530954397420544,0.7368615342667622,0.03532422918269752,93
ARV_0031,rpe_mag,shift,FCz,-0.2517355443358018,0.01798335100618355,-0.2572649184681188,88
ARV_0031,rpe_mag,shift,Cz,-0.09872600498362707,0.3601243296069769,-0.09904864894858878,88
ARV_0031,rpe_mag,shift,FC2,-0.2081012040715128,0.051701995648165425,-0.2111857762297704,88
ARV_0031,rpe_mag,shift,FC1,-0.18806410269504306,0.07931653115668877,-0.1903295320623459,88
ARV_0031,rpe_mag,shift,F4,-0.2512202105263649,0.018227911189637833,-0.25671479416456255,88
ARV_0031,rpe_mag,shift,F5,-0.06520681154480105,0.5461156926586945,-0.06529946626515795,88
ARV_0031,rpe_mag,shift,C4,0.05555000597735839,0.607215947839854,0.05560725079727991,88
ARV_0031,rpe_mag,shift,C3,-0.0808052936934006,0.4542143869611241,-0.08098185853915145,88
ARV_0031,rpe_mag,shift,P4,0.04115414341453706,0.7034247913146255,0.04117740081037264,88
ARV_0031,rpe_mag,shift,P3,0.12178884181387642,0.25832507272978206,0.12239640327571918,88
ARV_0031,rpe_mag,shift,P8,0.1762931877664269,0.10037745471964972,0.17815437525678773,88
ARV_0031,rpe_mag,shift,P7,0.23993618329163727,0.02434644816354863,0.24470639653953166,88
ARV_0031,rpe_mag,shift,Pz,-0.00647153880065518,0.9522822665391865,-0.0064716291473640355,88
ARV_0033,rpe_binary,all,FCz,0.0843382358986206,0.2829529055990601,0.08453905787372976,164
ARV_0033,rpe_binary,all,Cz,0.06682895333838151,0.39519548922118364,0.06692870925101883,164
ARV_0033,rpe_binary,all,FC2,0.04934127049862726,0.5303801667203567,0.04938137053439607,164
ARV_0033,rpe_binary,all,FC1,0.03735972798378873,0.6348266455164346,0.037377124158949726,164
ARV_0033,rpe_binary,all,F4,0.011877818997285836,0.8800134536570633,0.011878377629040522,164
ARV_0033,rpe_binary,all,F5,-0.004092146800052758,0.9585251647553401,-0.004092169642189335,164
ARV_0033,rpe_binary,all,C4,-0.06423681292701361,0.4138227973374579,-0.06432538723742777,164
ARV_0033,rpe_binary,all,C3,0.057599868752639435,0.463799561617802,0.05766369641579346,164
ARV_0033,rpe_binary,all,P4,0.028961617355836196,0.7127762694556131,0.02896971886300124,164
ARV_0033,rpe_binary,all,P3,0.010486081612859898,0.8939846852986155,0.010486465980749786,164
ARV_0033,rpe_binary,all,P8,-0.07848467908968186,0.3178196872184723,-0.07864642847132985,164
ARV_0033,rpe_binary,all,P7,-0.06490895789189965,0.4089439384024149,-0.06500034657744506,164
ARV_0033,rpe_binary,all,Pz,-0.037109329851708,0.6370988952679317,-0.03712637838907273,164
ARV_0033,rpe_binary,high_rew,FCz,0.07917131002346729,0.5307250127722879,0.07933735273455597,65
ARV_0033,rpe_binary,high_rew,Cz,0.2048983871536776,0.10156501855477561,0.2078402974839169,65
ARV_0033,rpe_binary,high_rew,FC2,0.0891498557739006,0.480056870299657,0.089387167127214,65
ARV_0033,rpe_binary,high_rew,FC1,0.05739202607641872,0.6497526352679323,0.05745516437694101,65
ARV_0033,rpe_binary,high_rew,F4,0.12648207750375826,0.3153862038535777,0.12716310123046534,65
ARV_0033,rpe_binary,high_rew,F5,-0.001753009525502941,0.9889424802078841,-0.0017530113211971163,65
ARV_0033,rpe_binary,high_rew,C4,-0.005762378920239146,0.9636635715168776,-0.0057624427014613296,65
ARV_0033,rpe_binary,high_rew,C3,-0.05225336971467326,0.6793219622716248,-0.05230100556710343,65
ARV_0033,rpe_binary,high_rew,P4,0.019904656592806408,0.8749467496615181,0.019907285928695305,65
ARV_0033,rpe_binary,high_rew,P3,-0.06729432858430706,0.5942956219606841,-0.06739618687568036,65
ARV_0033,rpe_binary,high_rew,P8,-0.14966993931015887,0.23405389263147433,-0.15080279502998598,65
ARV_0033,rpe_binary,high_rew,P7,-0.14687733011802703,0.24299594735060964,-0.14794740792784786,65
ARV_0033,rpe_binary,high_rew,Pz,0.006618934793139625,0.9582667972253153,0.006619031454848631,65
ARV_0033,rpe_binary,no_rew,FCz,0.23067516483992784,0.04498696952852393,0.23490245976277954,76
ARV_0033,rpe_binary,no_rew,Cz,0.022123085191587333,0.8495509761054204,0.022126695492329148,76
ARV_0033,rpe_binary,no_rew,FC2,0.23261228019924454,0.043167359711264494,0.23694941299022867,76
ARV_0033,rpe_binary,no_rew,FC1,-0.07743258800401395,0.5061443294802802,-0.07758790405209065,76
ARV_0033,rpe_binary,no_rew,F4,0.024913942316201147,0.8308369863414338,0.02491909896900869,76
ARV_0033,rpe_binary,no_rew,F5,-0.011167837602343154,0.9237204321338657,-0.011168301923546484,76
ARV_0033,rpe_binary,no_rew,C4,0.14745074285267254,0.20369214835702432,0.14853351413066604,76
ARV_0033,rpe_binary,no_rew,C3,0.0944003552714325,0.41728660347085367,0.09468227817554666,76
ARV_0033,rpe_binary,no_rew,P4,0.08091727132407105,0.4871367615039352,0.08109457315978841,76
ARV_0033,rpe_binary,no_rew,P3,-0.08368992502837548,0.4722872612483974,-0.08388613843578932,76
ARV_0033,rpe_binary,no_rew,P8,-0.16274370203773386,0.16012928657581935,-0.16420375890300665,76
ARV_0033,rpe_binary,no_rew,P7,-0.1743974031508793,0.13187818036525442,-0.17619845325681616,76
ARV_0033,rpe_binary,no_rew,Pz,0.07676129035868867,0.5098493886332303,0.07691259237000858,76
ARV_0033,rpe_binary,low_rew,FCz,0.2157991253004267,0.32269326453520236,0.21924582530471404,23
ARV_0033,rpe_binary,low_rew,Cz,0.06281772274263556,0.7758403194831938,0.06290054656093816,23
ARV_0033,rpe_binary,low_rew,FC2,0.20235754328283106,0.35445487741985254,0.2051895400092552,23
ARV_0033,rpe_binary,low_rew,FC1,0.3682972189245829,0.08377807114100143,0.3864516697295003,23
ARV_0033,rpe_binary,low_rew,F4,0.344898939118025,0.10701893786007821,0.3596423179271472,23
ARV_0033,rpe_binary,low_rew,F5,-0.08457635560218549,0.7012134354936125,-0.08477888829721857,23
ARV_0033,rpe_binary,low_rew,C4,0.16468561796306808,0.45270700980932427,0.16619915716627565,23
ARV_0033,rpe_binary,low_rew,C3,-0.15370259514815623,0.4838007373427026,-0.1549304285681484,23
ARV_0033,rpe_binary,low_rew,P4,-0.021436758287661974,0.9226591582124384,-0.021440042837418495,23
ARV_0033,rpe_binary,low_rew,P3,-0.6407471504615672,0.0009876190482352935,-0.7594402698930508,23
ARV_0033,rpe_binary,low_rew,P8,0.2025652723600315,0.35395056938446307,0.20540614798286172,23
ARV_0033,rpe_binary,low_rew,P7,-0.39176084605430295,0.06449590457765786,-0.41387843510347344,23
ARV_0033,rpe_binary,low_rew,Pz,-0.22782201132927446,0.2957945590594451,-0.23189103878188383,23
ARV_0033,rpe_binary,any_rew,FCz,0.11110358744744572,0.3027582646118358,0.11156415795409125,88
ARV_0033,rpe_binary,any_rew,Cz,0.12750400420262342,0.23648017829587523,0.12820177902383978,88
ARV_0033,rpe_binary,any_rew,FC2,0.13154084186501613,0.22184557780796307,0.13230750046364712,88
ARV_0033,rpe_binary,any_rew,FC1,0.17178531567617983,0.10951676105958981,0.17350568712249148,88
ARV_0033,rpe_binary,any_rew,F4,0.1833089098808583,0.08735451197213405,0.18540451667961727,88
ARV_0033,rpe_binary,any_rew,F5,0.014004157980262714,0.8969631294228809,0.0140050735698753,88
ARV_0033,rpe_binary,any_rew,C4,0.0026419066705518773,0.9805104475025622,0.002641912817123949,88
ARV_0033,rpe_binary,any_rew,C3,-0.028744692068275624,0.7903558681659383,-0.028752612832831384,88
ARV_0033,rpe_binary,any_rew,P4,-0.024062580697255365,0.8238999871692355,-0.02406722645187463,88
ARV_0033,rpe_binary,any_rew,P3,-0.23004316037143663,0.031072168403114758,-0.234235038318706,88
ARV_0033,rpe_binary,any_rew,P8,-0.05766951790066034,0.593550951646878,-0.05773357769252428,88
ARV_0033,rpe_binary,any_rew,P7,-0.1800973122801945,0.09313929200986354,-0.1820832611949321,88
ARV_0033,rpe_binary,any_rew,Pz,-0.08670162967746753,0.4218486029111814,-0.086919865206174,88
ARV_0033,rpe_binary,stay,FCz,0.10347773194468202,0.33735406680019897,0.10384945719896381,88
ARV_0033,rpe_binary,stay,Cz,-0.12045408975965459,0.2636186846572068,-0.12104177810243112,88
ARV_0033,rpe_binary,stay,FC2,0.1148762653472137,0.2865323614568576,0.11538562827577328,88
ARV_0033,rpe_binary,stay,FC1,-0.018342114946846386,0.8653103165104133,-0.018344172327522616,88
ARV_0033,rpe_binary,stay,F4,-0.03765553802799882,0.7276050501980292,-0.03767335094384814,88
ARV_0033,rpe_binary,stay,F5,0.10289189766241949,0.3401111707996696,0.103257318333769,88
